ad_group_name,campaign_name
Ava Cannabis | Core,Midtown ComCon
Bleu Leaf Dispensary | Core,Bronx ComCon
Bliss and Lex | Core,Midtown ComCon
Bud and Honey | Core,Midtown ComCon
CONBUD Bronx Mott Haven | Core,Bronx ComCon
CONBUD Yankee Stadium | Core,Bronx ComCon
Cannavita | Core,Midtown ComCon
Elevation HQ | Core,Midtown ComCon
Etain Manhattan | Core,Midtown ComCon
Guardian Wellness | Core,Bronx ComCon
Herbwell Cannabis Bronx | Core,Bronx ComCon
Hii | Core,Midtown ComCon
Hush Pelham Gardens | Core,Bronx ComCon
Indoor Treez 8th Ave | Core,Midtown ComCon
Indoor Treez Fashion Ave | Core,Midtown ComCon
Just A Little Higher | Core,Midtown ComCon
Mary Jane Cannabis Co. | Core,Midtown ComCon
Midtown Brands Conquest - alter,Midtown BrandsCon N
Midtown Brands Conquest - anthem,Midtown BrandsCon N
Midtown Brands Conquest - bic,Midtown BrandsCon N
Midtown Brands Conquest - cannabals,Midtown BrandsCon N
Midtown Brands Conquest - chopsticks,Midtown BrandsCon N
Midtown Brands Conquest - cornucopia-growers,Midtown BrandsCon N
Midtown Brands Conquest - cru,Midtown BrandsCon N
Midtown Brands Conquest - dr-jekyll-and-mr-high,Midtown BrandsCon N
Midtown Brands Conquest - dumbo-electric,Midtown BrandsCon N
Midtown Brands Conquest - fernway,Midtown BrandsCon N
Midtown Brands Conquest - herb,Midtown BrandsCon N
Midtown Brands Conquest - ichi-roll,Midtown BrandsCon N
Midtown Brands Conquest - jams,Midtown BrandsCon N
Midtown Brands Conquest - juan-roll,Midtown BrandsCon N
Midtown Brands Conquest - kingsroad,Midtown BrandsCon N
Midtown Brands Conquest - kiva,Midtown BrandsCon N
Midtown Brands Conquest - layup,Midtown BrandsCon N
Midtown Brands Conquest - lost-farm,Midtown BrandsCon N
Midtown Brands Conquest - moonlit-hash-co,Midtown BrandsCon N
Midtown Brands Conquest - moony-s,Midtown BrandsCon N
My Bud 420 | Core,Bronx ComCon
NY Cannabis Co. 9th Ave | Core,Midtown ComCon
NYC Bud | Core,Midtown ComCon
Nicklz | Core,Midtown ComCon
Poppin | Core,Midtown ComCon
Pryzm | Core,Midtown ComCon
Qube Times Square | Core,Midtown ComCon
SOFACLUB Midtown | Core,Midtown ComCon
Smiley Exotics | Core,Midtown ComCon
Smoking Scholars | Core,Bronx ComCon
Sparkboro | Core,Bronx ComCon
Statis Cannabis | Core,Bronx ComCon
Superfly | Core,Midtown ComCon
Terp Bros | Core,Midtown ComCon
The Alchemy Chelsea | Core,Midtown ComCon
The Bronx Joint | Core,Bronx ComCon
The Daily Green | Core,Midtown ComCon
The Emerald Dispensary Manhattan | Core,Midtown ComCon
Torches | Core,Midtown ComCon
Travel Agency 5th Ave | Core,Midtown ComCon
Trends | Core,Midtown ComCon
Two Buds Wakefield | Core,Bronx ComCon
Urban Leaf | Core,Midtown ComCon
Urban Weeds | Core,Midtown ComCon
