product_name,prior_image_uuid,new_image_uuid,product_group_url
"Green Crack","fcf892eb-a3cf-4379-9467-49b1a3b077b7","26cf1fbf-0191-44d3-89ba-44a36581403a","https://prime.sweedpos.com/store_setup/products/product/69645"
"Green Crack","bffba461-9474-42f4-b7e9-1d13392c8cbb","e1dd2857-eda0-4e62-8ad1-4ee48cc879e3","https://prime.sweedpos.com/store_setup/products/product/73082"
"Green Crack Cold Cure","ca56c5cb-3796-4764-abcb-6274dc6e5437","bfaeb1f4-be51-46fe-8394-668c3923f71c","https://prime.sweedpos.com/store_setup/products/product/43971"
"Green Dream","474c9349-0beb-4e90-a2b0-7049428fff71","fce24851-b660-4fb4-a753-04c656ef9a91","https://prime.sweedpos.com/store_setup/products/product/71708"
"Grey Terp Poison","498d97b0-5d48-4073-a5eb-2e891a670a01","8af27483-16f6-42f3-8ced-deaef14ada6e","https://prime.sweedpos.com/store_setup/products/product/80667"
"Gruntz","687f3d21-e40a-4e28-8662-162a7de18aca","acf90c69-10f3-4ccd-9974-23624b71daae","https://prime.sweedpos.com/store_setup/products/product/71500"
"Gush Mints","8099d333-8c15-411e-a852-55b37bed8483","acd1d370-4579-4ee4-a47a-9832b9b4ff41","https://prime.sweedpos.com/store_setup/products/product/36437"
"Happy Hour Rosemary Yuzu Shot","71fe12aa-4f80-481f-a6b0-0617a7c4a2dc","9ae21af3-7458-406b-8371-a2b13c015293","https://prime.sweedpos.com/store_setup/products/product/71858"
"Hard Cider","e1c8349e-2c9c-4b2c-baaf-0847ea984a3a","213680c4-0441-419a-b08f-772b697123ee","https://prime.sweedpos.com/store_setup/products/product/73120"
"Heavy Gelato Freeze","8953d738-abbf-46af-ac9b-1914fcdc04e6","cc0ee60d-fa90-4653-9cf9-1dcd5308589f","https://prime.sweedpos.com/store_setup/products/product/36603"
"Heavy Sour Diesel","25d11b6c-b88e-4a01-9d4d-5aeb4e21f339","89066b3c-aac7-43b4-8a40-e87627590988","https://prime.sweedpos.com/store_setup/products/product/36605"
"Heavy Sunset Sherbet","3b0bcfb0-bc86-4f1a-b827-ebf9fbba4299","77186777-6002-4b1d-a9b4-892bb42608f9","https://prime.sweedpos.com/store_setup/products/product/36606"
"High Society Powdered Donuts","3e395fff-71a5-4107-b863-1d250596c8da","8fd45bf9-72a2-4f6c-bb51-28b5d1a5aa8c","https://prime.sweedpos.com/store_setup/products/product/53615"
"Honeymoon Diesel","6b1795e1-7b2a-4b20-8285-8fd276253729","6569fc6a-7530-4d7f-a850-a14792a1d8fe","https://prime.sweedpos.com/store_setup/products/product/69752"
"Horseshoes","0babec60-53e7-435f-8439-891bd527d626","252db086-b74b-48cf-b489-ab176227b04c","https://prime.sweedpos.com/store_setup/products/product/36640"
"Horseshoes","8d3d5da6-d690-4f1c-9701-88f1ffbe441c","c7726c39-28f3-4405-a4e9-5fb1cd13f440","https://prime.sweedpos.com/store_setup/products/product/36641"
"Huckleberry","c0a370fc-d536-4982-ac00-97c5d189a7cd","6e181981-69ad-4aca-87d3-5b2a639bd609","https://prime.sweedpos.com/store_setup/products/product/36524"
"Hulkberry","0aff0820-287c-4fb3-b396-b68481ddcc76","aa4135ca-1633-4c75-8769-da7c130fd164","https://prime.sweedpos.com/store_setup/products/product/71817"
"Ice Cream Cake","f488c7b8-6cce-446a-a92e-002e01a43737","883f2a4a-e62e-4698-8a4b-a78c94fb5c09","https://prime.sweedpos.com/store_setup/products/product/71317"
"Ice Cream Cake","37a5fa16-9f83-430d-99e9-a9da254a1679","8d193f09-af2b-4573-8679-d7f28ba5e912","https://prime.sweedpos.com/store_setup/products/product/73102"
